Phase 1_mobility,Phase 2_mobility,Phase 3_mobility,Phase 4_mobility,Phase 5_mobility,Phase 6_mobility,Phase 1_rt,Phase 2_rt,Phase 3_rt,Phase 4_rt,Phase 5_rt,Phase 6_rt,Phase 1_case_growth,Phase 2_case_growth,Phase 3_case_growth,Phase 4_case_growth,Phase 5_case_growth,Phase 6_case_growth,Phase 1_death_rate,Phase 2_death_rate,Phase 3_death_rate,Phase 4_death_rate,Phase 5_death_rate,Phase 6_death_rate
43.43712514,38.51990035,36.59523421,44.03698956,-43.43712514,-43.43712514,0.702550053,-0.949153783,-0.23121738,-0.660122368,-0.702550053,-0.702550053,0.28175610100000004,-0.094085839,-0.24223803600000002,0.138606115,-0.28175610100000004,-0.28175610100000004,0.00010284,-0.00040822,1.92e-05,0.0005058969999999999,-0.00010284,-0.00010284
10.02053847,39.10712859,32.35285953,23.58806266,-10.02053847,-10.02053847,0.390335234,0.56523961,0.253257907,-0.20540167899999998,-0.390335234,-0.390335234,-0.334231927,-0.09777655800000001,0.065336902,-0.032939726,0.334231927,0.334231927,0.00028145599999999997,-9.91e-05,-0.000121561,0.001606067,-0.00028145599999999997,-0.00028145599999999997
7.394939621,35.25547968,25.67549754,22.56295304,-7.394939621,-7.394939621,1.4153027130000002,0.657987231,0.247531967,-0.391428868,-1.4153027130000002,-1.4153027130000002,-0.18384446399999999,0.014332029,-0.06744860400000001,-0.160657639,0.18384446399999999,0.18384446399999999,-0.000298056,-0.00026853099999999997,0.00042215300000000004,0.0016375379999999998,0.000298056,0.000298056
12.40861492,47.01307805,33.23683092,26.89994546,-12.40861492,-12.40861492,-2.286361863,-0.273158234,-0.115243861,-0.11529788199999999,2.286361863,2.286361863,-0.33222951100000003,-0.04039568,-0.08225047,-9.364659999999999e-05,0.33222951100000003,0.33222951100000003,0.002211775,-0.0009979189999999999,-0.0033597609999999997,-0.001154116,-0.002211775,-0.002211775
17.76933478,37.67285311,25.27041674,19.49987557,-17.76933478,-17.76933478,-0.154392997,0.19781494600000002,0.12461027300000001,0.143703387,0.154392997,0.154392997,-0.568719089,-0.156537301,-0.038669537999999996,-0.017710358,0.568719089,0.568719089,0.006141309,0.011308008999999999,0.024780746,0.035286338,-0.006141309,-0.006141309
-30.93280751,25.89139516,18.99946673,38.69935124,30.93280751,30.93280751,-0.205954033,0.87199428,-1.36015605,-0.177152865,0.205954033,0.205954033,0.075339192,-0.018285673,-0.21985201399999998,0.060692169000000004,-0.075339192,-0.075339192,-7.45e-06,-6.86e-05,-6.04e-05,-9.940000000000002e-05,7.45e-06,7.45e-06
-37.61600024,31.30361176,28.97568335,39.21688343,37.61600024,37.61600024,-0.205954033,0.87199428,-1.36015605,-0.177152865,0.205954033,0.205954033,0.07787254,0.07547759,-0.073687506,0.16962716,-0.07787254,-0.07787254,-0.0012284260000000001,-0.0005725,-0.000265497,0.00034859800000000004,0.0012284260000000001,0.0012284260000000001
-19.36441092,7.215499386,0.8134098820000001,0.001009082,19.36441092,19.36441092,0.241841361,-0.293862382,-0.106948043,0.014127144,-0.241841361,-0.241841361,-0.141490647,0.087640339,-0.018933858,-0.9666216679999999,0.141490647,0.141490647,0.000210605,4.71e-05,0.009664586,0.000497776,-0.000210605,-0.000210605
10.84419478,41.60930645,30.41545369,23.3109193,-10.84419478,-10.84419478,-0.758120527,0.5824248879999999,-0.330948215,-0.09918016199999999,0.758120527,0.758120527,-0.094566416,0.019289495,-0.282806607,-0.041257787000000004,0.094566416,0.094566416,-5.02e-05,0.000138426,0.00044208199999999995,-4.44e-05,5.02e-05,5.02e-05
12.69210515,42.38648968,31.46339394,29.16545874,-12.69210515,-12.69210515,0.358745288,0.32970787,0.162849928,0.185538727,-0.358745288,-0.358745288,-0.40278888700000004,0.001007804,0.11499851,0.134002531,0.40278888700000004,0.40278888700000004,-0.0014832570000000002,0.000682507,-0.00060781,3.3e-05,0.0014832570000000002,0.0014832570000000002
