,state,Phase 1 abs,Phase 1 abs low,Phase 1 abs upp,Phase 1 rel,Phase 1 rel low,Phase 1 rel upp,Phase 1 p,Phase 2 abs,Phase 2 abs low,Phase 2 abs upp,Phase 2 rel,Phase 2 rel low,Phase 2 rel upp,Phase 2 p,Phase 3 abs,Phase 3 abs low,Phase 3 abs upp,Phase 3 rel,Phase 3 rel low,Phase 3 rel upp,Phase 3 p,Phase 4 abs,Phase 4 abs low,Phase 4 abs upp,Phase 4 rel,Phase 4 rel low,Phase 4 rel upp,Phase 4 p,Phase 5 abs,Phase 5 abs low,Phase 5 abs upp,Phase 5 rel,Phase 5 rel low,Phase 5 rel upp,Phase 5 p,Phase 6 abs,Phase 6 abs low,Phase 6 abs upp,Phase 6 rel,Phase 6 rel low,Phase 6 rel upp,Phase 6 p
12,Jammu & Kashmir and Ladakh,-0.00063301,-0.000904679,-0.000379128,-0.298768402,-0.426990572,-0.178941037,0.00101626,0.00017515,-4.30E-05,0.000387556,0.079240956,-0.019432849,0.175336628,0.061827957,0.003546111,0.00324643,0.003809944,1.129354029,1.033912476,1.213378554,0.001228501,0.007505702,0.00667739,0.008380903,1.142773302,1.016659383,1.276026059,0.001121076,0.009740909,0.007345426,0.012142707,0.525824287,0.39651364,0.655475849,0.001145475,0.029958946,0.024148127,0.036178043,0.608646893,0.490594108,0.734994259,0.001076426
13,Jharkhand,0.00010284,5.02E-05,0.000153596,0.49835418,0.243121732,0.744316381,0.001009082,-0.00040822,-0.00048133,-0.000336863,-0.879606907,-1.037140953,-0.725851882,0.00116144,1.92E-05,-6.56E-05,0.000106254,0.11823033,-0.404816121,0.655630998,0.31382442,0.000505897,0.000423556,0.000585469,2.545148199,2.130896632,2.945473958,0.001009082,0.001002695,0.000892692,0.001109785,1.682009149,1.49748015,1.861652075,0.001153403,0.009071,0.008343356,0.009891304,2.066704322,1.900920454,2.253599392,0.001180638
14,Karnataka,0.000281456,0.000247101,0.000312197,0.474197134,0.416316728,0.525990466,0.001164144,-9.91E-05,-0.000201007,-5.19E-06,-0.083038239,-0.16841367,-0.004346651,0.017647059,-0.000121561,-0.000207661,-3.60E-05,-0.089140281,-0.152276831,-0.026401534,0.001010101,0.001606067,0.001524745,0.001691065,1.080353083,1.025650721,1.137528797,0.001013171,0.022277555,0.021852756,0.022716838,7.3326539,7.192831333,7.47724392,0.001153403,0.058901425,0.046228479,0.073017881,0.789592089,0.619707269,0.978827614,0.001150748
15,Kerala,-0.000298056,-0.000369969,-0.000234178,-0.508664089,-0.631391897,-0.399649969,0.00101626,-0.000268531,-0.000345924,-0.000196806,-0.721991651,-0.930074076,-0.529147139,0.001153403,0.000422153,0.000350594,0.000488815,3.26401147,2.710733547,3.779430005,0.001015228,0.001637538,0.00149954,0.001773294,3.736811481,3.421905433,4.046603489,0.001009082,-0.001251455,-0.001759699,-0.000735,-0.506197461,-0.711775853,-0.297298187,0.001187648,0.006325952,0.006052688,0.006594615,3.548878184,3.395576338,3.699599018,0.001122334
16,Madhya Pradesh,0.002211775,0.001595113,0.002750851,0.649251708,0.468234696,0.807493926,0.001164144,-0.000997919,-0.001945489,-0.000103682,-0.109383053,-0.213247284,-0.011364751,0.01446281,-0.003359761,-0.00427416,-0.002434785,-0.30376325,-0.386436074,-0.220134197,0.001010101,-0.001154116,-0.002156441,-0.000182258,-0.106366183,-0.198742946,-0.016797385,0.012359551,-0.0040672,-0.004989835,-0.00307292,-0.317841149,-0.389942646,-0.240140719,0.001123596,0.004030001,0.002612568,0.005641606,0.388234907,0.251684774,0.543490726,0.001060445
17,Maharashtra,0.006141309,0.004266391,0.007860082,0.645272705,0.448273452,0.825865725,0.001166861,0.011308009,0.008773819,0.01375311,0.447331333,0.347081796,0.544056589,0.001033058,0.024780746,0.019982049,0.029166213,0.507937566,0.409577381,0.597827645,0.001010101,0.035286338,0.027491376,0.042885723,0.437864858,0.341137896,0.532164905,0.001020408,0.009175007,-0.004062254,0.021258324,0.067320428,-0.029806263,0.155980201,0.076147816,0.021258324,0.011173196,0.035126508,0.123075415,0.057818999,0.181772482,0.001027749
18,Manipur,-7.45E-06,-4.33E-05,2.47E-05,-0.043559919,-0.253087146,0.144503915,0.332171893,-6.86E-05,-9.69E-05,-4.01E-05,-0.302794177,-0.427588417,-0.176905168,0.001173709,-6.04E-05,-8.78E-05,-3.26E-05,-0.265029721,-0.385173519,-0.142956406,0.001230012,-9.94E-05,-0.000126448,-7.42E-05,-0.398089967,-0.506566875,-0.297399589,0.001122334,0.011361319,0.011317682,0.011411875,62.53206394,62.29189131,62.81032426,0.001117318,-4.33E-05,-7.45E-06,-4.33E-05,2.47E-05,-0.043559919,-0.253087146,0.144503915
19,Meghalaya,-0.001228426,-0.00154784,-0.00089594,-0.790299322,-0.995792518,-0.576396989,0.001009082,-0.0005725,-0.00090832,-0.000237875,-0.77549268,-1.230384124,-0.322218709,0.001009082,-0.000265497,-0.00058849,3.05E-05,-0.585292473,-1.297335209,0.067127512,0.036326942,0.000348598,0.000113155,0.000591991,1.05533801,0.342563972,1.792180878,0.009081736,0.003111452,0.002846189,0.003378157,3.904363411,3.571501977,4.239035798,0.001009082,0.003378157,-0.001228426,-0.00154784,-0.00089594,-0.790299322,-0.995792518,-0.576396989
20,Nagaland,0.000210605,0.000181951,0.000239691,4.918547215,4.249354876,5.59784212,0.001009082,4.71E-05,4.14E-06,8.63E-05,0.224682286,0.019733351,0.411626162,0.019172553,0.009664586,0.009616776,0.009707215,27.86335733,27.72551962,27.98625935,0.001117318,0.000497776,0.000210605,0.000181951,0.000239691,4.918547215,4.249354876,5.59784212,0.001009082,4.71E-05,4.14E-06,8.63E-05,0.224682286,0.019733351,0.411626162,0.019172553,0.009664586,0.009616776,0.009707215,27.86335733,27.72551962,27.98625935
21,Odisha,-5.02E-05,-6.52E-05,-3.60E-05,-0.406729659,-0.527777891,-0.291604347,0.001173709,0.000138426,0.000124095,0.000151988,1.417007467,1.270308954,1.555837869,0.001153403,0.000442082,0.000384665,0.000497776,1.458132439,1.268750951,1.641827275,0.001037344,-4.44E-05,-0.000152217,6.02E-05,-0.062639733,-0.21482482,0.084984191,0.189944134,0.003517107,0.003417223,0.00361049,3.910137418,3.799091627,4.013955173,0.001117318,0.008339572,0.006576596,0.010183868,0.773810529,0.610227852,0.944938743,0.001129944
